Film_title;Release_year;Director;Genres;Original_language;Average_rating;Runtime
Bus Stop;nan;Joshua Logan;['Comedy', 'Romance', 'Drama'];English;2.8;96
The A-Team;nan;Joe Carnahan;['Comedy', 'Action', 'Crime'];English;2.82;117
Who?;nan;Jack Gold;['Drama', 'Mystery', 'Science Fiction', 'Thriller'];English;3.08;93
Space Raiders;nan;Howard R. Cohen;['Adventure', 'Action', 'Science Fiction'];English;2.62;84
Drop Dead Fred;nan;Ate de Jong;['Comedy', 'Fantasy', 'Family'];English;3.05;103
Gremlins;nan;Joe Dante;['Fantasy', 'Horror', 'Comedy'];English;3.64;106
The Hot Spot;nan;Dennis Hopper;['Romance', 'Thriller', 'Crime'];English;3.31;130
American Wedding;nan;Jesse Dylan;['Comedy', 'Romance'];English;2.74;103
The Good Girl;nan;Miguel Arteta;['Comedy', 'Romance', 'Drama'];English;3.04;93
Heat;nan;Dick Richards;['Thriller', 'Action'];English;3.02;101
1990: The Bronx Warriors;nan;Enzo G. Castellari;['Action', 'Science Fiction', 'Thriller'];Italian;2.85;89
Manhattan Baby;nan;Lucio Fulci;['Horror'];Italian;2.71;89
The Norseman;nan;Charles B. Pierce;['Drama', 'War', 'Adventure', 'Action'];English;2.56;90
Strike Commando;nan;Bruno Mattei;['Action', 'War'];English;2.88;104
Cobra Mission;nan;Fabrizio De Angelis;['Adventure', 'Action'];English;3.13;90
The Messenger;nan;Fred Williamson;['Drama', 'Action'];English;3.01;95
Starsky & Hutch;nan;Todd Phillips;['Crime', 'Comedy'];English;2.89;101
Black Caesar;nan;Larry Cohen;['Action', 'Drama', 'Crime', 'Thriller'];English;3.47;94
American Grindhouse;nan;Elijah Drenner;['Documentary'];English;3.43;82
The New Barbarians;nan;Enzo G. Castellari;['Science Fiction', 'Action', 'Thriller'];Italian;2.73;91
Vigilante;nan;William Lustig;['Action', 'Crime', 'Thriller'];English;3.41;90
Boss Nigger;nan;Jack Arnold;['Comedy', 'Western', 'Action'];English;3.36;93
Hell Up In Harlem;nan;Larry Cohen;['Thriller', 'Drama', 'Crime', 'Action'];English;3.08;94
BaadAsssss Cinema;nan;Isaac Julien;['Action', 'Documentary'];English;3.42;58
Three the Hard Way;nan;Gordon Parks Jr.;['Action', 'Thriller'];English;3.31;89
Warrior of the Lost World;nan;David Worth;['Science Fiction', 'Action'];English;2.19;92
Eurocrime! The Italian Cop and Gangster Films That Ruled the '70s;nan;Mike Malloy;['Documentary'];English;3.56;127
Warriors of the Year 2072;nan;Lucio Fulci;['Action', 'Thriller', 'Science Fiction'];Italian;2.73;94
Take a Hard Ride;nan;Antonio Margheriti;['Western', 'Action'];English;3.18;103
White Fire;nan;Jean-Marie Pallardy;['Action', 'Thriller', 'Drama'];English;2.71;98
The Black Cobra;nan;Stelvio Massi;['Action', 'Drama', 'Crime'];English;2.86;85
Tell Me That You Love Me, Junie Moon;nan;Otto Preminger;['Romance', 'Drama', 'Comedy'];English;3.21;113
Three Tough Guys;nan;Duccio Tessari;['Crime', 'Action'];English;3.17;92
Joshua;nan;Larry G. Spangler;['Drama', 'Thriller', 'Western'];English;2.93;83
Dirty Mary Crazy Larry;nan;John Hough;['Crime', 'Action', 'Comedy', 'Adventure'];English;3.36;93
Twilight Zone: The Movie;nan;John Landis, Joe Dante;['Science Fiction', 'Horror', 'Fantasy'];English;3.18;102
The Bad News Bears;nan;Michael Ritchie;['Family', 'Comedy'];English;3.65;102
Humanoids from the Deep;nan;Barbara Peeters, Jimmy T. Murakami;['Horror', 'Science Fiction'];English;2.96;80
The Last Shark;nan;Enzo G. Castellari;['Horror'];Italian;2.41;88
Message from Space;nan;Kinji Fukasaku;['Action', 'Science Fiction', 'Adventure'];Japanese;2.96;105
Men in War;nan;Anthony Mann;['War', 'Drama'];English;3.73;102
God's Little Acre;nan;Anthony Mann;['Comedy', 'Drama'];English;3.32;118
Escape from the Bronx;nan;Enzo G. Castellari;['Thriller', 'Science Fiction', 'Action'];Italian;2.84;89
Adam and Eve;nan;Enzo Doria, Luigi Russo;['Romance', 'Adventure'];Italian;3.0;91
Ten Zan - Ultimate Mission;nan;Ferdinando Baldi;['Drama', 'Action', 'Thriller'];English;nan;84
Thunder III;nan;Fabrizio De Angelis;['Drama', 'Action'];Italian;nan;90
The Heroin Busters;nan;Enzo G. Castellari;['Action', 'Thriller', 'Crime'];Italian;3.3;92
Sinbad of the Seven Seas;nan;Enzo G. Castellari, Luigi Cozzi;['Adventure', 'Fantasy'];English;2.69;93
High Crime;nan;Enzo G. Castellari;['Crime', 'Thriller'];English;3.47;103
Anthropophagous;nan;Joe D'Amato;['Horror'];Italian;2.76;92
Django, Prepare a Coffin;nan;Ferdinando Baldi;['Drama', 'Western', 'Action'];Italian;3.23;92
Baba Yaga;nan;Corrado Farina;['Mystery', 'Horror', 'Thriller'];Italian;3.06;89
Endgame;nan;Joe D'Amato;['Science Fiction', 'Action', 'Thriller'];Italian;2.88;98
Metamorphosis;nan;George Eastman;['Horror', 'Science Fiction'];English;2.43;96
The Barbarians;nan;Ruggero Deodato;['Action', 'Fantasy', 'Adventure'];English;2.71;87
Ironmaster;nan;Umberto Lenzi;['Adventure', 'Action'];Italian;2.84;98
Zombie Flesh Eaters 2;nan;Lucio Fulci;['Horror', 'Science Fiction', 'Action'];Italian;2.82;95
Rats: Night of Terror;nan;Bruno Mattei, Claudio Fragasso;['Science Fiction', 'Horror'];Italian;2.71;97
Lady Frankenstein;nan;Mel Welles, Aureliano Luppi;['Horror', 'Science Fiction'];Italian;2.86;99
52 Tuesdays;nan;Sophie Hyde;['Drama'];English;3.23;114
9;nan;Shane Acker;['Action', 'Adventure', 'Animation', 'Thriller', 'Science Fiction'];English;3.45;79
A Beautiful Mind;nan;Ron Howard;['Drama', 'Romance'];English;3.85;135
Twelve Monkeys;nan;Terry Gilliam;['Thriller', 'Mystery', 'Science Fiction'];English;3.87;129
An American Tail;nan;Don Bluth;['Animation', 'Adventure', 'Drama', 'Comedy', 'Family'];English;3.51;80
Syriana;nan;Stephen Gaghan;['Drama', 'Thriller'];English;3.35;128
Starcrash;nan;Luigi Cozzi;['Fantasy', 'Science Fiction'];Italian;2.49;94
Maniac;nan;William Lustig;['Horror'];English;3.36;88
The Abominable Dr. Phibes;nan;Robert Fuest;['Horror', 'Comedy'];English;3.65;94
Dr. Phibes Rises Again;nan;Robert Fuest;['Horror', 'Comedy'];English;3.16;89
The Golden Voyage of Sinbad;nan;Gordon Hessler;['Adventure', 'Family', 'Drama', 'Fantasy', 'Action'];English;3.41;105
Captain Kronos: Vampire Hunter;nan;Brian Clemens;['Adventure', 'Horror'];English;3.24;91
The Last Horror Film;nan;David Winters;['Comedy', 'Horror'];English;3.2;87
Faceless;nan;Jesús Franco;['Horror'];English;3.19;98
At the Earth's Core;nan;Kevin Connor;['Fantasy', 'Adventure', 'Science Fiction'];English;2.61;90
Click;nan;Frank Coraci;['Drama', 'Comedy', 'Fantasy'];English;2.89;107
DodgeBall: A True Underdog Story;nan;Rawson Marshall Thurber;['Comedy'];English;3.22;92
Piranha 3DD;nan;John Gulager;['Comedy', 'Thriller', 'Horror'];English;1.69;83
Baywatch;nan;Seth Gordon;['Action', 'Crime', 'Comedy'];English;2.26;116
Sharknado 4: The 4th Awakens;nan;Anthony C. Ferrante;['Comedy', 'Science Fiction'];English;1.93;85
Nick Fury: Agent of S.H.I.E.L.D.;nan;Rod Hardy;['TV Movie', 'Science Fiction', 'Action'];English;2.01;91
