Film_title;Release_year;Director;Genres;Original_language;Average_rating;Runtime
The Fan;nan;Eckhart Schmidt;['Horror', 'Drama'];German;3.57;92
Mad Max: Fury Road;nan;George Miller;['Adventure', 'Science Fiction', 'Action'];English;4.18;121
Suspiria;nan;Dario Argento;['Horror'];English;3.93;99
Lost in Translation;nan;Sofia Coppola;['Drama', 'Comedy', 'Romance'];English;3.79;102
Akira;nan;Katsuhiro Otomo;['Animation', 'Action', 'Science Fiction'];Japanese;4.28;124
Things to Come;nan;Mia Hansen-Løve;['Drama'];French;3.77;102
Big Trouble in Little China;nan;John Carpenter;['Comedy', 'Adventure', 'Fantasy', 'Action'];English;3.72;100
Star Wars;nan;George Lucas;['Adventure', 'Action', 'Science Fiction'];English;4.17;121
The Third Man;nan;Carol Reed;['Mystery', 'Thriller'];English;4.25;105
The Big Sick;nan;Michael Showalter;['Drama', 'Comedy', 'Romance'];English;3.76;120
Jodorowsky's Dune;nan;Frank Pavich;['Documentary'];English;3.96;90
Get Out;nan;Jordan Peele;['Horror', 'Mystery', 'Thriller'];English;4.15;104
Lawrence of Arabia;nan;David Lean;['Adventure', 'War', 'History'];English;4.38;228
Free Fire;nan;Ben Wheatley;['Action', 'Crime', 'Mystery'];English;3.16;90
Sing Street;nan;John Carney;['Romance', 'Drama', 'Music', 'Comedy'];English;4.04;105
Up;nan;Pete Docter;['Animation', 'Adventure', 'Family', 'Comedy'];English;4.1;96
Blade Runner;nan;Ridley Scott;['Thriller', 'Drama', 'Science Fiction'];English;4.1;118
Annie Hall;nan;Woody Allen;['Drama', 'Romance', 'Comedy'];English;4.04;93
The Truman Show;nan;Peter Weir;['Comedy', 'Drama'];English;4.22;103
Wonder Woman;nan;Patty Jenkins;['Action', 'Fantasy', 'Adventure'];English;3.24;141
Plan 9 from Outer Space;nan;Edward D. Wood Jr.;['Science Fiction', 'Horror'];English;2.24;79
Whiplash;nan;Damien Chazelle;['Drama', 'Music'];English;4.42;107
Weird Science;nan;John Hughes;['Comedy', 'Science Fiction', 'Fantasy'];English;3.08;93
Raw;nan;Julia Ducournau;['Drama', 'Horror'];French;3.69;99
Army of Darkness;nan;Sam Raimi;['Comedy', 'Horror', 'Fantasy'];English;3.71;81
Obvious Child;nan;Gillian Robespierre;['Comedy', 'Romance'];English;3.52;85
Django Unchained;nan;Quentin Tarantino;['Drama', 'Western'];English;4.3;165
The Lost Boys;nan;Joel Schumacher;['Comedy', 'Thriller', 'Horror'];English;3.66;97
Star Trek II: The Wrath of Khan;nan;Nicholas Meyer;['Action', 'Thriller', 'Science Fiction', 'Adventure'];English;3.93;112
Stand by Me;nan;Rob Reiner;['Drama', 'Crime'];English;4.16;89
Drive;nan;Nicolas Winding Refn;['Thriller', 'Drama', 'Crime'];English;3.92;100
The Lion King;nan;Roger Allers, Rob Minkoff;['Animation', 'Family', 'Drama'];English;4.22;89
It Follows;nan;David Robert Mitchell;['Horror', 'Mystery'];English;3.45;101
The Goonies;nan;Richard Donner;['Adventure', 'Family', 'Comedy'];English;3.8;114
Ant-Man;nan;Peyton Reed;['Adventure', 'Science Fiction', 'Action'];English;3.22;117
Sicario;nan;Denis Villeneuve;['Action', 'Thriller', 'Crime'];English;3.98;122
Fantastic Planet;nan;René Laloux;['Animation', 'Science Fiction'];French;4.02;72
Ghostbusters;nan;Ivan Reitman;['Comedy', 'Fantasy'];English;3.75;107
Candy;nan;Christian Marquand;['Fantasy', 'Comedy', 'Adventure'];English;2.37;124
Scarface;nan;Howard Hawks;['Crime', 'Drama'];English;3.83;93
Donnie Darko;nan;Richard Kelly;['Fantasy', 'Mystery', 'Drama'];English;3.98;114
El Topo;nan;Alejandro Jodorowsky;['Western', 'Drama', 'Adventure'];Spanish;3.77;125
Okja;nan;Bong Joon Ho;['Drama', 'Science Fiction', 'Adventure'];English;3.71;122
My Neighbor Totoro;nan;Hayao Miyazaki;['Fantasy', 'Animation', 'Family'];Japanese;4.19;86
#Horror;nan;Tara Subkoff;['Thriller', 'Horror', 'Crime'];English;1.72;90
Breathless;nan;Jean-Luc Godard;['Crime', 'Drama'];French;3.92;90
Indiana Jones and the Temple of Doom;nan;Steven Spielberg;['Action', 'Adventure'];English;3.65;118
La Dolce Vita;nan;Federico Fellini;['Drama', 'Comedy'];Italian;4.27;176
Synecdoche, New York;nan;Charlie Kaufman;['Drama'];English;4.18;124
The King of Comedy;nan;Martin Scorsese;['Comedy', 'Drama'];English;4.24;109
A Ghost Story;nan;David Lowery;['Fantasy', 'Drama', 'Romance', 'Mystery'];English;3.77;93
Masters of the Universe;nan;Gary Goddard;['Thriller', 'Adventure', 'Fantasy', 'Action', 'Science Fiction'];English;2.51;106
The Iron Giant;nan;Brad Bird;['Science Fiction', 'Animation', 'Family', 'Adventure'];English;4.26;86
Moonlight;nan;Barry Jenkins;['Drama'];English;4.2;111
Pulp Fiction;nan;Quentin Tarantino;['Crime', 'Thriller'];English;4.25;154
The Fifth Element;nan;Luc Besson;['Action', 'Science Fiction', 'Adventure'];English;3.77;126
Top Gun;nan;Tony Scott;['Action', 'Drama'];English;3.43;110
Watchmen;nan;Zack Snyder;['Mystery', 'Science Fiction', 'Action'];English;3.66;163
Rushmore;nan;Wes Anderson;['Comedy', 'Drama'];English;3.9;93
Child's Play;nan;Tom Holland;['Horror'];English;3.33;87
The Lord of the Rings: The Fellowship of the Ring;nan;Peter Jackson;['Fantasy', 'Adventure', 'Action'];English;4.38;179
Heat;nan;Michael Mann;['Crime', 'Action', 'Drama'];English;4.28;170
Empire of the Sun;nan;Steven Spielberg;['History', 'War', 'Drama'];English;3.84;153
Boyz n the Hood;nan;John Singleton;['Drama', 'Crime'];English;4.05;112
Flash Gordon;nan;Mike Hodges;['Adventure', 'Science Fiction', 'Action'];English;3.24;111
Spring Breakers;nan;Harmony Korine;['Drama', 'Crime'];English;2.79;94
The Boxer's Omen;nan;Kuei Chih-Hung;['Fantasy', 'Action', 'Horror'];Cantonese;3.78;105
Her;nan;Spike Jonze;['Science Fiction', 'Drama', 'Romance'];English;3.99;126
Django;nan;Sergio Corbucci;['Action', 'Western'];Italian;3.8;93
Love;nan;Gaspar Noé;['Romance', 'Drama'];English;3.15;134
Possession;nan;Andrzej Żuławski;['Horror'];English;4.06;124
John Wick: Chapter 2;nan;Chad Stahelski;['Crime', 'Action', 'Thriller'];English;3.7;122
Pirates of the Caribbean: The Curse of the Black Pearl;nan;Gore Verbinski;['Fantasy', 'Adventure', 'Action'];English;3.95;143
The Raid;nan;Gareth Evans;['Crime', 'Action', 'Thriller'];Indonesian;4.02;101
The Beyond;nan;Lucio Fulci;['Horror'];Italian;3.52;88
Oldboy;nan;Park Chan-wook;['Thriller', 'Mystery', 'Drama', 'Action'];Korean;4.38;120
Kingsman: The Secret Service;nan;Matthew Vaughn;['Comedy', 'Crime', 'Adventure', 'Action'];English;3.74;129
Prometheus;nan;Ridley Scott;['Science Fiction', 'Horror', 'Adventure', 'Mystery'];English;3.29;124
Groundhog Day;nan;Harold Ramis;['Comedy', 'Drama', 'Fantasy', 'Romance'];English;3.82;101
Batman Returns;nan;Tim Burton;['Fantasy', 'Action'];English;3.58;126
Spirited Away;nan;Hayao Miyazaki;['Family', 'Fantasy', 'Animation'];Japanese;4.45;125
American Psycho;nan;Mary Harron;['Crime', 'Thriller', 'Horror', 'Drama'];English;3.82;102
Pinocchio;nan;Hamilton Luske, Ben Sharpsteen;['Animation', 'Fantasy', 'Family'];English;3.48;88
Avengers: Age of Ultron;nan;Joss Whedon;['Action', 'Adventure', 'Science Fiction'];English;3.15;141
Baby Driver;nan;Edgar Wright;['Crime', 'Action'];English;3.71;113
The Fly;nan;David Cronenberg;['Science Fiction', 'Horror'];English;3.99;96
Birdman or (The Unexpected Virtue of Ignorance);nan;Alejandro González Iñárritu;['Drama', 'Comedy'];English;4.0;120
Casino Royale;nan;Martin Campbell;['Thriller', 'Action', 'Adventure'];English;4.02;144
La La Land;nan;Damien Chazelle;['Drama', 'Comedy', 'Music', 'Romance'];English;4.12;129
Masterminds;nan;Jared Hess;['Action', 'Crime', 'Comedy'];English;2.62;95
Ferris Bueller's Day Off;nan;John Hughes;['Comedy'];English;3.94;103
The Edge of Seventeen;nan;Kelly Fremon Craig;['Drama', 'Comedy'];English;3.52;105
28 Days Later;nan;Danny Boyle;['Horror', 'Science Fiction', 'Thriller'];English;3.77;113
The Lobster;nan;Yorgos Lanthimos;['Drama', 'Comedy', 'Romance'];English;3.76;119
Suicide Squad;nan;David Ayer;['Adventure', 'Action', 'Fantasy'];English;2.15;122
Greed;nan;Erich von Stroheim;['Crime', 'Drama'];No spoken language;4.02;140
Videodrome;nan;David Cronenberg;['Mystery', 'Science Fiction', 'Horror'];English;3.88;88
The Bling Ring;nan;Sofia Coppola;['Drama', 'Crime'];English;2.94;90
Ex Machina;nan;Alex Garland;['Science Fiction', 'Drama'];English;3.98;108
The Empire Strikes Back;nan;Irvin Kershner;['Action', 'Science Fiction', 'Adventure'];English;4.4;124
Green Room;nan;Jeremy Saulnier;['Thriller', 'Horror', 'Crime'];English;3.65;95
Bram Stoker's Dracula;nan;Francis Ford Coppola;['Horror', 'Romance'];English;3.71;128
The Love Witch;nan;Anna Biller;['Romance', 'Horror', 'Comedy'];English;3.5;121
Mean Streets;nan;Martin Scorsese;['Drama', 'Crime'];English;3.72;111
Don't Breathe;nan;Fede Álvarez;['Thriller', 'Horror'];English;3.32;89
Clash of the Titans;nan;Desmond Davis;['Action', 'Fantasy', 'Adventure'];English;3.36;118
Ghost in the Shell;nan;Rupert Sanders;['Drama', 'Action', 'Science Fiction'];English;2.6;107
Halloween;nan;John Carpenter;['Horror', 'Thriller'];English;3.78;91
La Haine;nan;Mathieu Kassovitz;['Drama'];French;4.51;98
Peter Pan;nan;Clyde Geronimi, Wilfred Jackson;['Fantasy', 'Animation', 'Family', 'Adventure'];English;3.51;77
Rififi;nan;Jules Dassin;['Crime', 'Drama', 'Thriller'];French;4.26;118
Ingrid Goes West;nan;Matt Spicer;['Comedy', 'Drama'];English;3.33;97
The Dark Crystal;nan;Jim Henson, Frank Oz;['Fantasy', 'Adventure', 'Family'];English;3.69;93
Inherent Vice;nan;Paul Thomas Anderson;['Comedy', 'Drama', 'Mystery'];English;3.62;149
Solaris;nan;Andrei Tarkovsky;['Mystery', 'Science Fiction', 'Drama'];Russian;4.23;167
Come and See;nan;Elem Klimov;['War', 'Drama'];Russian;4.63;142
The Evil Dead;nan;Sam Raimi;['Horror'];English;3.66;85
Star Trek Beyond;nan;Justin Lin;['Action', 'Science Fiction', 'Adventure'];English;3.27;122
Lost River;nan;Ryan Gosling;['Thriller', 'Fantasy', 'Drama'];English;3.1;95
The Neon Demon;nan;Nicolas Winding Refn;['Thriller', 'Horror'];English;3.15;118
Kong: Skull Island;nan;Jordan Vogt-Roberts;['Action', 'Adventure', 'Fantasy'];English;3.09;118
Apocalypse Now;nan;Francis Ford Coppola;['Drama', 'War'];English;4.44;147
The Little Mermaid;nan;Ron Clements, John Musker;['Family', 'Animation', 'Fantasy'];English;3.69;83
Creed;nan;Ryan Coogler;['Action', 'Drama'];English;3.8;133
Point Blank;nan;John Boorman;['Crime', 'Drama', 'Thriller'];English;3.91;91
Boogie Nights;nan;Paul Thomas Anderson;['Drama'];English;4.21;156
Hard Target;nan;John Woo;['Crime', 'Thriller', 'Action', 'Adventure'];English;3.31;97
Wet Hot American Summer;nan;David Wain;['Comedy'];English;3.54;97
The Lego Movie;nan;Phil Lord, Christopher Miller;['Family', 'Animation', 'Adventure', 'Fantasy', 'Comedy'];English;3.81;100
Jaws;nan;Steven Spielberg;['Adventure', 'Thriller', 'Horror'];English;3.94;124
Attack the Block;nan;Joe Cornish;['Science Fiction', 'Action', 'Comedy'];English;3.58;88
Ghostbusters II;nan;Ivan Reitman;['Fantasy', 'Comedy'];English;3.17;108
Captain America: Civil War;nan;Joe Russo, Anthony Russo;['Action', 'Science Fiction', 'Adventure'];English;3.6;147
Terminator 2: Judgment Day;nan;James Cameron;['Thriller', 'Action', 'Science Fiction'];English;4.29;137
The Haunting;nan;Robert Wise;['Horror'];English;3.78;112
Escape from Tomorrow;nan;Randy Moore;['Fantasy', 'Horror'];English;2.32;90
The Dark Knight;nan;Christopher Nolan;['Action', 'Drama', 'Thriller', 'Crime'];English;4.48;152
House;nan;Nobuhiko Obayashi;['Comedy', 'Fantasy', 'Horror'];Japanese;4.0;88
Everything Is Illuminated;nan;Liev Schreiber;['Drama', 'Comedy'];English;3.67;106
Fear and Loathing in Las Vegas;nan;Terry Gilliam;['Drama', 'Comedy', 'Adventure'];English;3.78;118
Deliverance;nan;John Boorman;['Thriller', 'Drama', 'Adventure'];English;3.87;109
Kill Bill: Vol. 1;nan;Quentin Tarantino;['Crime', 'Action'];English;4.2;111
Rear Window;nan;Alfred Hitchcock;['Mystery', 'Thriller'];English;4.37;112
Shame;nan;Steve McQueen;['Drama'];English;3.79;102
Big;nan;Penny Marshall;['Drama', 'Comedy', 'Fantasy', 'Romance', 'Family'];English;3.6;104
Gone with the Wind;nan;Victor Fleming;['Romance', 'Drama', 'War'];English;3.85;233
Warm Bodies;nan;Jonathan Levine;['Horror', 'Romance', 'Comedy'];English;2.92;97
Peppermint Soda;nan;Diane Kurys;['Drama', 'Comedy'];French;3.86;101
The Hobbit: An Unexpected Journey;nan;Peter Jackson;['Fantasy', 'Action', 'Adventure'];English;3.52;169
Moana;nan;Ron Clements, John Musker;['Animation', 'Adventure', 'Family', 'Comedy'];English;3.72;107
Wayne's World;nan;Penelope Spheeris;['Music', 'Comedy'];English;3.55;95
Ghost in the Shell;nan;Mamoru Oshii;['Animation', 'Science Fiction', 'Action'];Japanese;4.09;83
Sleeping with Other People;nan;Leslye Headland;['Romance', 'Comedy'];English;3.35;100
Blade;nan;Stephen Norrington;['Action', 'Horror'];English;3.46;121
Clueless;nan;Amy Heckerling;['Comedy', 'Romance'];English;3.72;97
Robin Hood;nan;Wolfgang Reitherman;['Animation', 'Adventure', 'Family'];English;3.72;83
Memento;nan;Christopher Nolan;['Mystery', 'Thriller'];English;4.17;113
Death Note;nan;Adam Wingard;['Crime', 'Horror', 'Fantasy'];English;1.49;101
Enemy;nan;Denis Villeneuve;['Mystery', 'Thriller'];English;3.61;91
Evil Dead II;nan;Sam Raimi;['Horror', 'Comedy', 'Fantasy'];English;4.02;84
Die Hard;nan;John McTiernan;['Thriller', 'Action'];English;4.06;132
Beetlejuice;nan;Tim Burton;['Fantasy', 'Comedy'];English;3.74;92
X-Men: Days of Future Past;nan;Bryan Singer;['Adventure', 'Action', 'Science Fiction'];English;3.67;132
Dunkirk;nan;Christopher Nolan;['Action', 'Drama', 'War'];English;3.77;107
Back to the Future Part II;nan;Robert Zemeckis;['Comedy', 'Science Fiction', 'Adventure'];English;3.88;108
Hail, Caesar!;nan;Joel Coen, Ethan Coen;['Crime', 'Comedy', 'Drama', 'Mystery'];English;3.26;106
Let the Right One In;nan;Tomas Alfredson;['Horror', 'Drama'];Swedish;4.04;115
Almost Famous;nan;Cameron Crowe;['Drama', 'Music'];English;4.06;124
Hunt for the Wilderpeople;nan;Taika Waititi;['Comedy', 'Drama', 'Adventure'];English;4.07;101
Black Mirror: San Junipero;nan;Owen Harris;['Thriller', 'TV Movie', 'Science Fiction', 'Drama'];English;4.14;61
They Live;nan;John Carpenter;['Action', 'Science Fiction'];English;3.77;93
Airplane!;nan;Jerry Zucker, David Zucker;['Comedy'];English;3.84;88
Saving Private Ryan;nan;Steven Spielberg;['History', 'Drama', 'War'];English;4.24;169
Hercules;nan;Ron Clements, John Musker;['Animation', 'Adventure', 'Romance', 'Comedy', 'Fantasy', 'Family'];English;3.82;93
The Fog;nan;John Carpenter;['Horror'];English;3.46;90
Grave of the Fireflies;nan;Isao Takahata;['War', 'Drama', 'Animation'];Japanese;4.47;89
Valerian and the City of a Thousand Planets;nan;Luc Besson;['Action', 'Adventure', 'Science Fiction'];English;2.66;137
The Wicker Man;nan;Robin Hardy;['Horror'];English;3.97;93
Death Proof;nan;Quentin Tarantino;['Thriller', 'Action'];English;3.58;113
The Room;nan;Tommy Wiseau;['Romance', 'Drama'];English;2.61;99
Life of Brian;nan;Terry Jones;['Comedy'];English;3.99;94
Fences;nan;Denzel Washington;['Drama'];English;3.62;139
Predator;nan;John McTiernan;['Thriller', 'Science Fiction', 'Adventure', 'Action'];English;3.78;107
Breakfast at Tiffany's;nan;Blake Edwards;['Romance', 'Comedy', 'Drama'];English;3.78;115
Funny Games;nan;Michael Haneke;['Thriller', 'Horror', 'Drama'];German;3.93;109
Labyrinth;nan;Jim Henson;['Fantasy', 'Adventure', 'Family'];English;3.73;102
The Act of Killing;nan;Joshua Oppenheimer;['Documentary'];Indonesian;4.39;117
Crumb;nan;Terry Zwigoff;['Documentary'];English;4.17;120
The Naked Gun: From the Files of Police Squad!;nan;David Zucker;['Crime', 'Comedy'];English;3.77;86
A Nightmare on Elm Street;nan;Wes Craven;['Horror'];English;3.72;91
Pretty Woman;nan;Garry Marshall;['Romance', 'Comedy'];English;3.67;120
Escape from New York;nan;John Carpenter;['Action', 'Science Fiction'];English;3.64;99
Dirty Dancing;nan;Emile Ardolino;['Drama', 'Romance', 'Music'];English;3.69;100
Mad Max 2;nan;George Miller;['Action', 'Adventure', 'Science Fiction', 'Thriller'];English;3.89;96
American Beauty;nan;Sam Mendes;['Drama'];English;3.95;122
The Babadook;nan;Jennifer Kent;['Drama', 'Horror'];English;3.35;94
Black Mass;nan;Scott Cooper;['History', 'Drama', 'Crime'];English;3.11;123
A Trip to the Moon;nan;Georges Méliès;['Science Fiction', 'Adventure'];No spoken language;3.98;15
Atomic Blonde;nan;David Leitch;['Thriller', 'Adventure', 'Action'];English;3.28;115
Grease;nan;Randal Kleiser;['Comedy', 'Romance'];English;3.53;110
Magnolia;nan;Paul Thomas Anderson;['Drama'];English;4.22;189
The Great Gatsby;nan;Jack Clayton;['Romance', 'Drama'];English;3.19;144
Rogue One: A Star Wars Story;nan;Gareth Edwards;['Adventure', 'Science Fiction', 'Action'];English;3.75;133
Misery;nan;Rob Reiner;['Horror', 'Drama', 'Thriller'];English;3.98;107
Neon Genesis Evangelion: The End of Evangelion;nan;Hideaki Anno, Kazuya Tsurumaki;['Science Fiction', 'Drama', 'Action', 'Animation'];Japanese;4.47;87
Audition;nan;Takashi Miike;['Drama', 'Horror'];Japanese;3.81;115
The Hunt;nan;Thomas Vinterberg;['Drama'];Danish;4.28;116
The NeverEnding Story;nan;Wolfgang Petersen;['Fantasy', 'Drama', 'Family', 'Adventure'];English;3.59;102
The Seventh Seal;nan;Ingmar Bergman;['Fantasy', 'Drama'];Swedish;4.34;96
Life;nan;Daniel Espinosa;['Science Fiction', 'Thriller', 'Horror', 'Mystery'];English;3.04;104
Taxi Driver;nan;Martin Scorsese;['Drama', 'Crime'];English;4.14;114
Batman: Mask of the Phantasm;nan;Bruce Timm, Eric Radomski;['Drama', 'Action', 'Mystery', 'Animation', 'Crime'];English;4.03;76
Hush;nan;Mike Flanagan;['Thriller', 'Horror'];English;3.22;82
Metropolis;nan;Fritz Lang;['Drama', 'Science Fiction'];No spoken language;4.25;153
Ace Ventura: Pet Detective;nan;Tom Shadyac;['Crime', 'Comedy', 'Mystery', 'Adventure'];English;3.2;86
Gone Girl;nan;David Fincher;['Drama', 'Thriller', 'Mystery'];English;4.07;149
Paprika;nan;Satoshi Kon;['Animation', 'Thriller', 'Science Fiction'];Japanese;4.09;90
Alien: Covenant;nan;Ridley Scott;['Science Fiction', 'Thriller', 'Horror'];English;3.04;122
Blue Ruin;nan;Jeremy Saulnier;['Thriller', 'Crime'];English;3.73;91
Gravity;nan;Alfonso Cuarón;['Thriller', 'Drama', 'Science Fiction'];English;3.51;91
Office Space;nan;Mike Judge;['Comedy'];English;3.73;90
Coherence;nan;James Ward Byrkit;['Science Fiction', 'Thriller'];English;3.74;89
The Rocky Horror Picture Show;nan;Jim Sharman;['Science Fiction', 'Fantasy', 'Horror', 'Comedy'];English;4.03;100
Like Crazy;nan;Drake Doremus;['Romance', 'Drama'];English;3.3;90
The Young and the Damned;nan;Luis Buñuel;['Drama', 'Crime'];Spanish;4.2;82
The Dark Knight Rises;nan;Christopher Nolan;['Thriller', 'Drama', 'Crime', 'Action'];English;3.77;165
Raising Arizona;nan;Joel Coen;['Crime', 'Comedy'];English;3.87;94
Star Trek Into Darkness;nan;J.J. Abrams;['Science Fiction', 'Action', 'Adventure'];English;3.35;132
Primer;nan;Shane Carruth;['Science Fiction', 'Drama', 'Thriller'];English;3.6;77
Doctor Strange;nan;Scott Derrickson;['Action', 'Adventure', 'Fantasy'];English;3.46;115
South Park: Bigger, Longer & Uncut;nan;Trey Parker;['Animation', 'Comedy'];English;3.84;81
World War Z;nan;Marc Forster;['Horror', 'Action', 'Thriller', 'Science Fiction'];English;3.16;116
Shogun Assassin;nan;Robert Houston, Kenji Misumi;['Adventure', 'Action'];English;3.73;85
Source Code;nan;Duncan Jones;['Mystery', 'Science Fiction', 'Thriller'];English;3.47;93
Logan's Run;nan;Michael Anderson;['Action', 'Science Fiction'];English;3.3;119
Friday;nan;F. Gary Gray;['Comedy'];English;3.57;91
THX 1138;nan;George Lucas;['Drama', 'Science Fiction', 'Action'];English;3.4;86
The Gunfighter;nan;Henry King;['Western'];English;3.97;85
Logan;nan;James Mangold;['Drama', 'Science Fiction', 'Action'];English;4.12;137
Inside Out;nan;Pete Docter;['Comedy', 'Family', 'Animation', 'Adventure', 'Drama'];English;3.84;95
[REC];nan;Jaume Balagueró, Paco Plaza;['Horror', 'Mystery'];Spanish;3.68;78
Vertigo;nan;Alfred Hitchcock;['Romance', 'Thriller', 'Mystery'];English;4.23;128
Wizards;nan;Ralph Bakshi;['Fantasy', 'Animation', 'Science Fiction'];English;3.35;80
Interstellar;nan;Christopher Nolan;['Science Fiction', 'Drama', 'Adventure'];English;4.41;169
The Way Way Back;nan;Nat Faxon, Jim Rash;['Drama', 'Comedy'];English;3.66;103
Spider-Man: Homecoming;nan;Jon Watts;['Action', 'Drama', 'Adventure', 'Science Fiction'];English;3.47;133
Aliens;nan;James Cameron;['Science Fiction', 'Horror', 'Thriller', 'Action'];English;4.12;137
Titanic;nan;James Cameron;['Drama', 'Romance'];English;3.82;194
Night of the Living Dead;nan;George A. Romero;['Thriller', 'Horror'];English;3.96;96
Dope;nan;Rick Famuyiwa;['Drama', 'Crime', 'Comedy'];English;3.51;103
Raiders of the Lost Ark;nan;Steven Spielberg;['Adventure', 'Action'];English;4.16;115
Big Hero 6;nan;Don Hall, Chris Williams;['Animation', 'Comedy', 'Action', 'Family', 'Adventure'];English;3.81;102
No Country for Old Men;nan;Joel Coen, Ethan Coen;['Crime', 'Thriller', 'Drama'];English;4.32;122
The Perks of Being a Wallflower;nan;Stephen Chbosky;['Drama'];English;3.96;103
Pirates of the Caribbean: Dead Men Tell No Tales;nan;Espen Sandberg, Joachim Rønning;['Action', 'Fantasy', 'Adventure'];English;2.69;129
Paper Towns;nan;Jake Schreier;['Drama', 'Mystery', 'Romance'];English;2.43;109
12 Angry Men;nan;Sidney Lumet;['Drama'];English;4.63;97
Ghostbusters;nan;Paul Feig;['Fantasy', 'Action', 'Comedy'];English;2.32;117
The Shawshank Redemption;nan;Frank Darabont;['Crime', 'Drama'];English;4.57;142
The Lego Batman Movie;nan;Chris McKay;['Comedy', 'Animation', 'Family', 'Action'];English;3.88;104
Scary Movie;nan;Keenen Ivory Wayans;['Comedy'];English;3.14;88
Brother Bear;nan;Aaron Blaise, Robert Walker;['Animation', 'Family', 'Adventure'];English;3.73;85
Nocturnal Animals;nan;Tom Ford;['Drama', 'Thriller'];English;3.71;117
Air Force One;nan;Wolfgang Petersen;['Thriller', 'Action'];English;3.22;124
Superman;nan;Richard Donner;['Action', 'Adventure', 'Science Fiction'];English;3.7;143
Fight Club;nan;David Fincher;['Drama'];English;4.27;139
The Lord of the Rings;nan;Ralph Bakshi;['Fantasy', 'Adventure', 'Animation'];English;3.18;132
Requiem for a Dream;nan;Darren Aronofsky;['Drama', 'Crime'];English;4.1;102
Singin' in the Rain;nan;Stanley Donen, Gene Kelly;['Romance', 'Comedy'];English;4.34;103
Starship Troopers;nan;Paul Verhoeven;['Adventure', 'Thriller', 'Action', 'Science Fiction'];English;3.83;129
Scott Pilgrim vs. the World;nan;Edgar Wright;['Comedy', 'Romance', 'Action'];English;3.88;113
All Eyez on Me;nan;Benny Boom;['Drama', 'Music', 'History'];English;2.68;139
Boyhood;nan;Richard Linklater;['Drama'];English;3.83;166
Power Rangers;nan;Dean Israelite;['Adventure', 'Action', 'Science Fiction'];English;2.5;124
Me and Earl and the Dying Girl;nan;Alfonso Gomez-Rejon;['Comedy', 'Drama'];English;3.84;105
American Sniper;nan;Clint Eastwood;['Action', 'War'];English;3.36;133
The Great Gatsby;nan;Baz Luhrmann;['Romance', 'Drama'];English;3.42;143
Kill Bill: Vol. 2;nan;Quentin Tarantino;['Thriller', 'Action', 'Crime'];English;4.08;136
(500) Days of Summer;nan;Marc Webb;['Romance', 'Comedy', 'Drama'];English;3.67;95
The Texas Chain Saw Massacre;nan;Tobe Hooper;['Horror'];English;3.82;83
Howl's Moving Castle;nan;Hayao Miyazaki;['Fantasy', 'Adventure', 'Animation'];Japanese;4.34;119
Friday the 13th;nan;Sean S. Cunningham;['Horror'];English;3.0;95
Gold;nan;Stephen Gaghan;['Drama', 'Adventure', 'Thriller'];English;3.09;121
The Terminator;nan;James Cameron;['Thriller', 'Action', 'Science Fiction'];English;3.89;108
They Call Me Macho Woman;nan;Patrick G. Donahue;['Action', 'Thriller'];English;3.06;81
Dazed and Confused;nan;Richard Linklater;['Drama', 'Comedy'];English;3.93;102
Life of Pi;nan;Ang Lee;['Drama', 'Adventure'];English;3.73;127
An American Werewolf in London;nan;John Landis;['Comedy', 'Horror'];English;3.84;97
The Jungle Book;nan;Jon Favreau;['Family', 'Fantasy', 'Drama', 'Adventure'];English;3.19;106
The Accountant;nan;Gavin O'Connor;['Crime', 'Drama', 'Thriller'];English;3.29;128
Harry Potter and the Deathly Hallows: Part 2;nan;David Yates;['Fantasy', 'Adventure'];English;3.99;130
True Grit;nan;Ethan Coen, Joel Coen;['Drama', 'Western', 'Adventure'];English;3.82;110
Empire of Dreams: The Story of the Star Wars Trilogy;nan;Edith Becker, Kevin Burns;['Documentary'];English;3.98;151
Easy Rider;nan;Dennis Hopper;['Adventure', 'Drama'];English;3.76;95
Avatar;nan;James Cameron;['Fantasy', 'Science Fiction', 'Adventure', 'Action'];English;3.64;162
John Wick;nan;Chad Stahelski;['Action', 'Thriller'];English;3.82;101
The Wizard of Oz;nan;Victor Fleming;['Adventure', 'Family', 'Fantasy'];English;3.95;102
Pet Sematary;nan;Mary Lambert;['Fantasy', 'Horror', 'Drama', 'Thriller'];English;3.23;102
Brokeback Mountain;nan;Ang Lee;['Romance', 'Drama'];English;4.13;134
Naked Lunch;nan;David Cronenberg;['Crime', 'Drama'];English;3.74;115
Columbus;nan;Kogonada;['Drama'];English;3.97;104
Lara Croft: Tomb Raider;nan;Simon West;['Adventure', 'Action', 'Fantasy', 'Thriller'];English;2.66;100
Blue Is the Warmest Color;nan;Abdellatif Kechiche;['Drama', 'Romance'];French;3.24;180
Salem's Lot;nan;Tobe Hooper;['Mystery', 'Horror'];English;3.27;184
The Place Beyond the Pines;nan;Derek Cianfrance;['Drama', 'Crime'];English;3.79;140
Super Mario Bros.;nan;Annabel Jankel, Rocky Morton;['Family', 'Adventure', 'Comedy', 'Fantasy'];English;2.11;104
Eraserhead;nan;David Lynch;['Fantasy', 'Horror'];English;3.85;89
X-Men;nan;Bryan Singer;['Science Fiction', 'Action', 'Adventure'];English;3.33;104
